empresa_id,modelo_codigo,ordem,manobra_codigo,tripulante,status_classificacao,fonte_classificacao,observacoes,source
"6","A139-I-02/12","5","CAU-CST-59","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=17","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=17"
"6","A139-I-02/12","6","CAU-OVS-64","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=17","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=17"
"6","A139-I-02/12","7","CAU-NGO-63","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=17","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=17"
"6","A139-I-02/12","8","WAR-OIL-18","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=17","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=17"
"6","A139-I-02/12","9","CAU-HOT-65","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=17","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=17"
"6","A139-I-02/12","10","WAR-LOW-29","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=17","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=17"
"6","A139-I-02/12","11","WAR-HIG-29","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=17","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=17"
"6","A139-I-02/12","12","CAU-LIC-60","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=17","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=17"
"6","A139-I-02/12","13","CAU-CND-61","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=17","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=17"
"6","A139-I-02/12","14","CAU-TNF-62","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=17","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=17"
"6","A139-I-02/12","15","CAU-FLO-73","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=17","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=17"
"6","A139-I-02/12","16","CAU-2FP-74","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=17","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=17"
"6","A139-I-02/12","17","CAU-EFP-75","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=17","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=17"
"6","A139-I-02/12","18","FLY-BAS-X1","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=17","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=17"
"6","A139-I-02/12","19","FLY-BAS-X3","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=17","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=17"
"6","A139-I-02/12","20","OPS-NRM-X2","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=17","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=17"
"6","A139-I-02/12","21","OPS-NRM-X3","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=17","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=17"
"6","A139-I-02/12","22","OPS-NRM-X1","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=17","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=17"
"6","A139-I-03/12","1","WAR-GEN-11","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=18","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=18"
"6","A139-I-03/12","2","WAR-BAT-14","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=18","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=18"
"6","A139-I-03/12","3","WAR-AUX-14","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=18","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=18"
"6","A139-I-03/12","4","CAU-DCG-53","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=18","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=18"
"6","A139-I-03/12","5","CAU-BOF-55","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=18","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=18"
"6","A139-I-03/12","6","CAU-DCB-56","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=18","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=18"
"6","A139-I-03/12","7","CAU-ACB-57","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=18","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=18"
"6","A139-I-03/12","8","CAU-28D-58","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=18","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=18"
"6","A139-I-03/12","9","FLY-BAS-X1","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=18","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=18"
"6","A139-I-03/12","10","FLY-BAS-X3","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=18","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=18"
"6","A139-I-03/12","11","OPS-NRM-X2","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=18","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=18"
"6","A139-I-03/12","12","OPS-NRM-X3","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=18","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=18"
"6","A139-I-03/12","13","WAR-OUT-15","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=18","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=18"
"6","A139-I-03/12","14","FLY-BAS-17","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=18","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=18"
"6","A139-I-03/12","15","CAU-FLO-73","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=18","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=18"
"6","A139-I-03/12","16","WAR-LOW-29","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=18","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=18"
"6","A139-I-03/12","17","WAR-HIG-29","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=18","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=18"
"6","A139-I-03/12","18","CAU-HOT-65","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=18","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=18"
"6","A139-I-03/12","19","CAU-LIC-60","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=18","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=18"
