codigo,nome,tipo,tipo_compatibilidade,codigo_icao,latitude_dms,longitude_dms,latitude_decimal,longitude_decimal,elevacao_ft,declinacao_magnetica_graus,declinacao_magnetica_direcao,coordenada_valida,permite_origem_destino,revisao_pendente,classificacao_origem,fonte_pagina
3-R1,Unidade 3R1 - 16 VHF,plataforma,plataforma,9PER,19º33'52''S,039º15'14''W,-19.564444444444444,-39.25388888888889,0,23,W,1,1,0,INFERIDA_DESCRICAO,1
3R2,PETROLEUM (P61),plataforma,plataforma,9PHP,23º30'00''S,041º03'00''W,-23.5,-41.05,0,23,W,1,1,0,INFERIDA_DESCRICAO,1
3R3,PETROLEUM 3R3 (P63),plataforma,plataforma,9PHD,23º30'47''S,041º03'50''W,-23.513055555555557,-41.06388888888888,0,23,W,1,1,0,INFERIDA_DESCRICAO,1
9PDJ,NS32,plataforma,plataforma,9PDJ,22º32'45''S,040º02'04''W,-22.545833333333334,-40.03444444444444,0,21,W,1,1,0,INFERIDA_DESCRICAO,1
ACCO,"NAVIO / Seven Condor, BC",plataforma,plataforma,9PSW,22º38'56''S,040º05'06''W,-22.648888888888887,-40.085,50,5,W,1,1,0,INFERIDA_DESCRICAO,1
ACHA,"NAVIO / Acergy Harrier, BC",embarcacao,plataforma,,22º08'00''S,040º10'00''W,-22.133333333333333,-40.166666666666664,0,24,W,1,1,0,INFERIDA_DESCRICAO,1
ACPE,NAVIO / Acergy Pertinácia,plataforma,plataforma,9PLS,25º13'27''S,042º53'00''W,-25.224166666666665,-42.88333333333333,0,22,W,1,1,0,INFERIDA_DESCRICAO,1
AÇU,Porto do Açú- São João da Barra,waypoint,,,21º52'22''S,040º59'44''W,-21.872777777777777,-40.995555555555555,0,23,W,1,0,0,INFERIDA_DESCRICAO,1
ADDT,ADDT,waypoint,,,23º33'59''S,041º01'58''W,-23.56638888888889,-41.032777777777774,0,22,W,1,0,0,INFERIDA_DESCRICAO,1
AGIL,NAVIO / Agile PLSV,plataforma,plataforma,9PEU,00º00'00''S,000º00'00''W,0,0,73,22,W,0,0,1,INFERIDA_DESCRICAO,1
AKSA,"NAVIO / Akofs Santos, BS",plataforma,plataforma,9PBF,24º29'00''S,044º07'00''W,-24.483333333333334,-44.11666666666667,65,22,W,1,1,0,INFERIDA_DESCRICAO,1
AKVIB,AKVIB,waypoint,,,23º12'00''S,041º02'00''W,-23.2,-41.03333333333333,0,23,W,1,0,0,INFERIDA_DESCRICAO,1
ALDIV,PONTO DE NOTIFICAÇÃO - ENTRADA,waypoint,,,24º20'00''S,042º40'00''W,-24.333333333333332,-42.666666666666664,,23,W,1,0,1,INFERIDA_DESCRICAO,1
AMAD,NAVIO / Amadeus,plataforma,plataforma,9PAU,03º03'00''N,049º17'00''W,3.05,-49.28333333333333,,19,W,1,1,1,INFERIDA_DESCRICAO,1
AMAZON,JLV AMAZON,plataforma,plataforma,9PKZ,21º52'56''S,040º53'46''W,-21.88222222222222,-40.89611111111111,,23,W,1,1,1,INFERIDA_DESCRICAO,1
ANDO,"MACAÉ / Fixo compulsório, RJ",waypoint,,,22º21'14''S,040º50'30''W,-22.35388888888889,-40.84166666666667,,23,W,1,0,1,INFERIDA_DESCRICAO,1
ANKOP,PONTO DE NOTIFICAÇÃO - ENTRADA,waypoint,,,23º12'18''S,042º48'20''W,-23.205,-42.80555555555555,,23,W,1,0,1,INFERIDA_DESCRICAO,1
APOLLO,PGS APOLLO - CANAL MARÍTIMO 16,plataforma,plataforma,9PLL,22º51'00''S,043º09'00''W,-22.85,-43.15,0,24,W,1,1,0,INFERIDA_DESCRICAO,1
ARCAD,Plataforna ARCADIA,waypoint,,,22º34'48''S,041º33'37''W,-22.58,-41.56027777777778,0,22,W,1,0,0,INFERIDA_DESCRICAO,1
ARCT,PLATAFORMA / GFS ARCTIC I,plataforma,plataforma,9PAR,23º00'37''S,043º04'21''W,-23.010277777777777,-43.072500000000005,0,23,W,1,1,0,INFERIDA_DESCRICAO,1
ARTE,ARTEMIS ODYSSEY,plataforma,plataforma,9PTD,24º38'00''S,042º28'00''W,-24.633333333333333,-42.46666666666667,0,23,W,1,1,0,INFERIDA_DESCRICAO,1
ARUBU,PONTO DE NOTIFICAÇÃO - SAÍDA,waypoint,,,25º00'00''S,043º10'00''W,-25,-43.166666666666664,,22,W,1,0,1,INFERIDA_DESCRICAO,1
ASIGO,PONTO DE NOTIFICAÇÃO - SAÍDA,waypoint,,,25º00'00''S,042º50'00''W,-25,-42.833333333333336,,22,W,1,0,1,INFERIDA_DESCRICAO,1
ATLA,"NAVIO / TOP CORAL DO ATLANTICO, BS",plataforma,plataforma,9PIZ,21º54'11''S,039º45'00''W,-21.903055555555554,-39.75,76,23,W,1,1,0,INFERIDA_DESCRICAO,1
ATLANT,FPSO ATLANTA,plataforma,plataforma,9PLT,24º06'01''S,041º53'14''W,-24.10027777777778,-41.88722222222222,0,22,W,1,1,0,INFERIDA_DESCRICAO,1
AV 04,AV 04,waypoint,,,04º42'47''S,064º44'09''W,-4.713055555555556,-64.73583333333333,0,15,W,1,0,0,INFERIDA_DESCRICAO,1
AV 06,CLAREIRA AV06,base,,,04º31'49''S,064º26'13''W,-4.530277777777778,-64.43694444444445,0,15,W,1,0,0,INFERIDA_DESCRICAO,1
AV 15,AV 15,waypoint,,,04º06'33''S,063º32'36''W,-4.109166666666666,-63.54333333333333,0,15,W,1,0,0,INFERIDA_DESCRICAO,1
AV03,CLAREIRA AV 03,base,,,04º43'44''S,064º45'46''W,-4.728888888888889,-64.76277777777777,0,15,W,1,0,0,INFERIDA_DESCRICAO,1
AV04,CLAREIRA AV04,base,,,04º42'47''S,064º44'09''W,-4.713055555555556,-64.73583333333333,0,15,W,1,0,0,INFERIDA_DESCRICAO,1
AV10,CLAREIRA AV10,base,,,04º22'30''S,064º09'10''W,-4.375,-64.15277777777779,0,15,W,1,0,0,INFERIDA_DESCRICAO,1
AV11,AV11,waypoint,,,04º18'00''S,063º58'00''W,-4.3,-63.96666666666667,0,15,W,1,0,0,INFERIDA_DESCRICAO,1
AV13,CLAREIRA AV13,base,,,04º15'02''S,063º45'29''W,-4.250555555555556,-63.75805555555556,0,15,W,1,0,0,INFERIDA_DESCRICAO,1
AV18,AV 18,waypoint,,,03º58'53''S,063º18'37''W,-3.981388888888889,-63.31027777777778,0,15,W,1,0,0,INFERIDA_DESCRICAO,1
AVOS,"MACAÉ / Fixo compulsório, RJ",waypoint,,,22º08'10''S,041º37'10''W,-22.13611111111111,-41.61944444444445,,23,W,1,0,1,INFERIDA_DESCRICAO,1
BAKUT,PONTO DE NOTIFICAÇÃO - SAÍDA,waypoint,,,23º09'08''S,042º41'15''W,-23.15222222222222,-42.6875,,23,W,1,0,1,INFERIDA_DESCRICAO,1
BAR,BARRA,waypoint,,,23º01'31''S,043º19'43''W,-23.025277777777777,-43.328611111111115,0,23,W,1,0,0,INFERIDA_DESCRICAO,1
BARRA,PONTO DE NOTIFICAÇÃO,waypoint,,,23º00'05''S,043º08'04''W,-23.00138888888889,-43.13444444444444,0,23,W,1,0,0,INFERIDA_DESCRICAO,1
BASE11,BASES11,waypoint,,,06º21'08''S,050º26'07''W,-6.352222222222222,-50.43527777777778,0,20,W,1,0,0,INFERIDA_DESCRICAO,1
BAT3,LOCAÇÃO BAT3 (ROSNEFT),base,,,04º34'15''S,065º32'20''W,-4.570833333333333,-65.53888888888889,0,10,W,1,0,0,INFERIDA_DESCRICAO,1
BFOR,BASE FORTALEZA (ROSNEFT),base,,,04º59'59''S,065º58'37''W,-4.999722222222222,-65.97694444444444,0,10,W,1,0,0,INFERIDA_DESCRICAO,1
BGL1,NAVIO / Balsa - 22XX2792-1357,plataforma,plataforma,9PBG,22º52'11''S,043º12'21''W,-22.869722222222222,-43.20583333333334,90,22,W,1,1,0,INFERIDA_DESCRICAO,1
BIVUR,"MACAÉ / Fixo compulsório, RJ",waypoint,,,22º47'55''S,041º00'45''W,-22.798611111111114,-41.0125,,23,W,1,0,1,INFERIDA_DESCRICAO,1
BLDP,PLATAFORMA / BLACKFORD DOLPHIN,plataforma,plataforma,9PBD,21º37'20''S,039º53'20''W,-21.622222222222224,-39.888888888888886,0,24,W,1,1,0,INFERIDA_DESCRICAO,1
BMES40,BMES40,waypoint,,,21º44'05''S,039º34'55''W,-21.734722222222224,-39.581944444444446,0,24,W,1,0,0,INFERIDA_DESCRICAO,1
BMS08,BMS08,waypoint,,,25º38'31''S,042º08'02''W,-25.641944444444444,-42.13388888888889,0,23,W,1,0,0,INFERIDA_DESCRICAO,1
BOKA,BOKA SUB,plataforma,plataforma,9PKU,24º42'00''S,042º18'00''W,-24.7,-42.3,70,23,W,1,1,0,INFERIDA_DESCRICAO,1
BOMA,BOLD MAVERICK CANAL MARÍTIMO 16/06,plataforma,plataforma,9PKG,22º30'05''S,040º07'56''W,-22.50138888888889,-40.132222222222225,0,23,W,1,1,0,INFERIDA_DESCRICAO,1
BOPR,Base de Operações Vale,base,,,06º23'23''S,050º22'49''W,-6.389722222222223,-50.38027777777778,0,20,W,1,0,0,INFERIDA_DESCRICAO,1
BR101,SOBREVOO,waypoint,,,22º45'14''S,042º49'32''W,-22.753888888888888,-42.82555555555556,0,22,W,1,0,0,INFERIDA_DESCRICAO,1
BR102,SOBREVOO,waypoint,,,22º44'35''S,042º48'28''W,-22.743055555555557,-42.80777777777777,0,22,W,1,0,0,INFERIDA_DESCRICAO,1
BRASI,ponto,waypoint,,,26º52'16''S,043º22'13''W,-26.871111111111112,-43.37027777777778,0,22,W,1,0,0,INFERIDA_DESCRICAO,1
BRAVO,FPSO BRAVO - OSX 3,plataforma,plataforma,9PHK,23º08'55''S,041º04'52''W,-23.148611111111112,-41.08111111111111,0,23,W,1,1,0,INFERIDA_DESCRICAO,2
BRFCA,BR-101 FCA SOBREVOO,waypoint,,,22º44'08''S,042º48'11''W,-22.735555555555557,-42.80305555555555,0,22,W,1,0,0,INFERIDA_DESCRICAO,2
BROK,XV-08 BROOKFIELD SOBREVOO,waypoint,,,22º53'51''S,042º45'42''W,-22.8975,-42.76166666666666,0,22,W,1,0,0,INFERIDA_DESCRICAO,2
BRTY,BASE BOURITY,base,,,04º52'39''S,066º07'40''W,-4.8775,-66.12777777777777,0,10,W,1,0,0,INFERIDA_DESCRICAO,2
BS001,PONTO DE NOTIFICAÇÃO,waypoint,,,23º29'00''S,043º04'04''W,-23.483333333333334,-43.06777777777778,0,22,W,1,0,0,INFERIDA_DESCRICAO,2
BS002,PONTO DE NOTIFICAÇÃO,waypoint,,,23º31'15''S,043º02'32''W,-23.520833333333332,-43.04222222222222,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS003,PONTO DE NOTIFICAÇÃO,waypoint,,,23º32'57''S,043º04'22''W,-23.549166666666668,-43.07277777777778,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS012,PONTO DE NOTIFICAÇÃO,waypoint,,,23º47'00''S,042º12'18''W,-23.783333333333335,-42.205000000000005,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS036,PONTO DE NOTIFICAÇÃO,waypoint,,,24º44'44''S,042º52'20''W,-24.745555555555555,-42.87222222222222,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS037,PONTO DE NOTIFICAÇÃO,waypoint,,,24º48'32''S,042º44'14''W,-24.80888888888889,-42.73722222222222,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS038,PONTO DE NOTIFICAÇÃO,waypoint,,,23º42'00''S,042º45'00''W,-23.7,-42.75,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS039,PONTO DE NOTIFICAÇÃO,waypoint,,,23º44'04''S,042º45'00''W,-23.734444444444446,-42.75,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS041,PONTO DE NOTIFICAÇÃO,waypoint,,,23º47'00''S,042º48'04''W,-23.783333333333335,-42.801111111111105,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS044,PONTO DE NOTIFICAÇÃO,waypoint,,,24º09'00''S,042º51'31''W,-24.15,-42.85861111111111,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS046,PONTO DE NOTIFICAÇÃO,waypoint,,,24º21'12''S,042º47'00''W,-24.353333333333335,-42.78333333333333,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS047,PONTO DE NOTIFICAÇÃO,waypoint,,,24º28'40''S,042º44'18''W,-24.477777777777778,-42.73833333333334,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS048,PONTO DE NOTIFICAÇÃO,waypoint,,,24º43'00''S,042º41'48''W,-24.716666666666665,-42.696666666666665,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS049,PONTO DE NOTIFICAÇÃO,waypoint,,,24º22'00''S,042º41'48''W,-24.366666666666667,-42.696666666666665,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS051,PONTO DE NOTIFICAÇÃO,waypoint,,,25º10'00''S,043º20'00''W,-25.166666666666668,-43.333333333333336,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS052,PONTO DE NOTIFICAÇÃO,waypoint,,,25º20'00''S,043º20'00''W,-25.333333333333332,-43.333333333333336,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS053,PONTO DE NOTIFICAÇÃO,waypoint,,,25º30'00''S,043º20'00''W,-25.5,-43.333333333333336,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS054,PONTO DE NOTIFICAÇÃO,waypoint,,,25º40'00''S,043º20'00''W,-25.666666666666668,-43.333333333333336,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS056,PONTO DE NOTIFICAÇÃO,waypoint,,,25º50'00''S,043º20'00''W,-25.833333333333332,-43.333333333333336,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS057,PONTO DE NOTIFICAÇÃO,waypoint,,,26º00'00''S,043º20'00''W,-26,-43.333333333333336,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS058,PONTO DE NOTIFICAÇÃO,waypoint,,,25º10'00''S,043º10'00''W,-25.166666666666668,-43.166666666666664,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS059,PONTO DE NOTIFICAÇÃO,waypoint,,,25º20'22''S,043º10'00''W,-25.339444444444442,-43.166666666666664,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS061,PONTO DE NOTIFICAÇÃO,waypoint,,,25º30'00''S,043º10'00''W,-25.5,-43.166666666666664,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS062,PONTO DE NOTIFICAÇÃO,waypoint,,,25º40'00''S,043º10'00''W,-25.666666666666668,-43.166666666666664,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS064,PONTO DE NOTIFICAÇÃO,waypoint,,,26º00'00''S,043º10'00''W,-26,-43.166666666666664,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS066,PONTO DE NOTIFICAÇÃO,waypoint,,,25º10'00''S,043º00'00''W,-25.166666666666668,-43,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS067,PONTO DE NOTIFICAÇÃO,waypoint,,,25º20'00''S,043º00'00''W,-25.333333333333332,-43,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS068,PONTO DE NOTIFICAÇÃO,waypoint,,,25º30'00''S,043º00'00''W,-25.5,-43,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS071,PONTO DE NOTIFICAÇÃO,waypoint,,,25º50'00''S,043º00'00''W,-25.833333333333332,-43,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS072,PONTO DE NOTIFICAÇÃO,waypoint,,,26º00'00''S,043º00'00''W,-26,-43,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS073,PONTO DE NOTIFICAÇÃO,waypoint,,,25º10'00''S,042º50'00''W,-25.166666666666668,-42.833333333333336,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS074,PONTO DE NOTIFICAÇÃO,waypoint,,,25º20'00''S,042º50'00''W,-25.333333333333332,-42.833333333333336,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS076,PONTO DE NOTIFICAÇÃO,waypoint,,,25º30'00''S,042º50'00''W,-25.5,-42.833333333333336,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS077,PONTO DE NOTIFICAÇÃO,waypoint,,,25º40'00''S,042º50'00''W,-25.666666666666668,-42.833333333333336,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS078,PONTO DE NOTIFICAÇÃO,waypoint,,,25º50'00''S,042º50'00''W,-25.833333333333332,-42.833333333333336,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS079,PONTO DE NOTIFICAÇÃO,waypoint,,,26º00'00''S,042º50'00''W,-26,-42.833333333333336,0,22,W,1,0,0,INFERIDA_DESCRICAO,2
BS081,PONTO DE NOTIFICAÇÃO,waypoint,,,24º30'00''S,042º40'00''W,-24.5,-42.666666666666664,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS082,PONTO DE NOTIFICAÇÃO,waypoint,,,24º40'00''S,042º40'00''W,-24.666666666666668,-42.666666666666664,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS083,PONTO DE NOTIFICAÇÃO,waypoint,,,24º50'00''S,042º40'00''W,-24.833333333333332,-42.666666666666664,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS084,PONTO DE NOTIFICAÇÃO,waypoint,,,25º10'00''S,042º40'00''W,-25.166666666666668,-42.666666666666664,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS086,PONTO DE NOTIFICAÇÃO,waypoint,,,25º20'00''S,042º40'00''W,-25.333333333333332,-42.666666666666664,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS087,PONTO DE NOTIFICAÇÃO,waypoint,,,25º30'00''S,042º40'22''W,-25.5,-42.672777777777775,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS088,PONTO DE NOTIFICAÇÃO,waypoint,,,25º40'00''S,042º40'00''W,-25.666666666666668,-42.666666666666664,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS089,PONTO DE NOTIFICAÇÃO,waypoint,,,25º50'00''S,042º40'00''W,-25.833333333333332,-42.666666666666664,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS091,PONTO DE NOTIFICAÇÃO,waypoint,,,24º30'00''S,042º30'00''W,-24.5,-42.5,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS092,PONTO DE NOTIFICAÇÃO,waypoint,,,24º40'00''S,042º30'00''W,-24.666666666666668,-42.5,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS093,PONTO DE NOTIFICAÇÃO,waypoint,,,24º50'00''S,042º30'00''W,-24.833333333333332,-42.5,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS094,PONTO DE NOTIFICAÇÃO,waypoint,,,25º00'00''S,042º30'00''W,-25,-42.5,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS096,PONTO DE NOTIFICAÇÃO,waypoint,,,24º30'00''S,042º20'00''W,-24.5,-42.333333333333336,,23,W,1,0,1,INFERIDA_DESCRICAO,2
BS097,PONTO DE NOTIFICAÇÃO,waypoint,,,24º40'00''S,042º20'00''W,-24.666666666666668,-42.333333333333336,,23,W,1,0,1,INFERIDA_DESCRICAO,2
BS098,PONTO DE NOTIFICAÇÃO,waypoint,,,24º50'00''S,042º20'00''W,-24.833333333333332,-42.333333333333336,,22,W,1,0,1,INFERIDA_DESCRICAO,2
BS099,PONTO DE NOTIFICAÇÃO,waypoint,,,25º00'00''S,042º20'00''W,-25,-42.333333333333336,,22,W,1,0,1,INFERIDA_DESCRICAO,3
BS101,PONTO DE NOTIFICAÇÃO,waypoint,,,24º30'00''S,042º10'00''W,-24.5,-42.166666666666664,0,23,W,1,0,0,INFERIDA_DESCRICAO,3
BS104,PONTO DE NOTIFICAÇÃO,waypoint,,,25º00'00''S,042º10'00''W,-25,-42.166666666666664,,22,W,1,0,1,INFERIDA_DESCRICAO,3
BS106,BS106,waypoint,,,24º30'00''S,042º00'00''W,-24.5,-42,0,23,W,1,0,0,INFERIDA_DESCRICAO,3
BS109,PONTO DE NOTIFICAÇÃO,waypoint,,,25º00'00''S,042º00'00''W,-25,-42,,22,W,1,0,1,INFERIDA_DESCRICAO,3
BS203,PONTO DE NOTIFICAÇÃO,waypoint,,,23º32'57''S,043º04'22''W,-23.549166666666668,-43.07277777777778,,22,W,1,0,1,INFERIDA_DESCRICAO,3
BS204,PONTO DE NOTIFICAÇÃO,waypoint,,,23º35'40''S,043º01'00''W,-23.594444444444445,-43.016666666666666,,22,W,1,0,1,INFERIDA_DESCRICAO,3
BS206,PONTO DE NOTIFICAÇÃO,waypoint,,,23º37'48''S,043º04'54''W,-23.63,-43.08166666666667,,22,W,1,0,1,INFERIDA_DESCRICAO,3
BS207,PONTO DE NOTIFICAÇÃO,waypoint,,,23º36'00''S,042º54'00''W,-23.6,-42.9,,22,W,1,0,1,INFERIDA_DESCRICAO,3
BS208,PONTO DE NOTIFICAÇÃO,waypoint,,,23º46'00''S,043º05'14''W,-23.766666666666666,-43.08722222222222,,22,W,1,0,1,INFERIDA_DESCRICAO,3
BS209,PONTO DE NOTIFICAÇÃO,waypoint,,,23º45'04''S,043º00'20''W,-23.75111111111111,-43.00555555555555,,22,W,1,0,1,INFERIDA_DESCRICAO,3
BS219,PONTO DE NOTIFICAÇÃO,waypoint,,,24º09'00''S,043º06'00''W,-24.15,-43.1,,22,W,1,0,1,INFERIDA_DESCRICAO,3
BS223,PONTO DE NOTIFICAÇÃO,waypoint,,,24º12'00''S,042º27'00''W,-24.2,-42.45,,22,W,1,0,1,INFERIDA_DESCRICAO,3
BS224,PONTO DE NOTIFICAÇÃO,waypoint,,,24º11'58''S,042º17'00''W,-24.199444444444445,-42.28333333333333,,22,W,1,0,1,INFERIDA_DESCRICAO,3
BS227,PONTO DE NOTIFICAÇÃO,waypoint,,,24º13'29''S,042º10'45''W,-24.22472222222222,-42.17916666666667,,22,W,1,0,1,INFERIDA_DESCRICAO,3
BS228,PONTO DE NOTIFICAÇÃO,waypoint,,,24º28'28''S,042º51'21''W,-24.474444444444444,-42.85583333333334,,22,W,1,0,1,INFERIDA_DESCRICAO,3
BS233,PONTO DE NOTIFICAÇÃO,waypoint,,,24º40'05''S,043º08'00''W,-24.668055555555558,-43.13333333333333,,22,W,1,0,1,INFERIDA_DESCRICAO,3
BS234,FIXO,waypoint,,,24º46'07''S,043º01'46''W,-24.76861111111111,-43.029444444444444,0,23,W,1,0,0,INFERIDA_DESCRICAO,3
BS311,PONTO DE NOTIFICAÇÃO,waypoint,,,24º14'57''S,042º43'15''W,-24.249166666666667,-42.72083333333334,,22,W,1,0,1,INFERIDA_DESCRICAO,3
BS312,PONTO DE NOTIFICAÇÃO,waypoint,,,24º30'00''S,042º10'00''W,-24.5,-42.166666666666664,,22,W,1,0,1,INFERIDA_DESCRICAO,3
BS313,PONTO DE NOTIFICAÇÃO,waypoint,,,24º40'00''S,042º10'00''W,-24.666666666666668,-42.166666666666664,,22,W,1,0,1,INFERIDA_DESCRICAO,3
BS314,PONTO DE NOTIFICAÇÃO,waypoint,,,24º50'00''S,042º10'00''W,-24.833333333333332,-42.166666666666664,,22,W,1,0,1,INFERIDA_DESCRICAO,3
BS316,PONTO DE NOTIFICAÇÃO,waypoint,,,24º30'00''S,042º00'00''W,-24.5,-42,,22,W,1,0,1,INFERIDA_DESCRICAO,3
BS317,PONTO DE NOTIFICAÇÃO,waypoint,,,24º40'00''S,042º00'00''W,-24.666666666666668,-42,,22,W,1,0,1,INFERIDA_DESCRICAO,3
BS318,PONTO DE NOTIFICAÇÃO,waypoint,,,24º50'00''S,042º00'00''W,-24.833333333333332,-42,,22,W,1,0,1,INFERIDA_DESCRICAO,3
BUNA,BARRA DO UMA,waypoint,,,23º45'14''S,045º46'06''W,-23.753888888888888,-45.76833333333333,0,22,W,1,0,0,INFERIDA_DESCRICAO,3
BUZ 5,Akoofs,waypoint,,,24º37'03''S,042º29'34''W,-24.6175,-42.49277777777778,0,22,W,1,0,0,INFERIDA_DESCRICAO,3
BUZIOS,Campos de búzios,waypoint,,,24º35'45''S,043º35'10''W,-24.59583333333333,-43.586111111111116,0,23,W,1,0,0,INFERIDA_DESCRICAO,3
CACE,HDD RIO CACERIBU SOBREVOO,waypoint,,,22º41'33''S,042º49'58''W,-22.6925,-42.83277777777778,0,22,W,1,0,0,INFERIDA_DESCRICAO,3
CAJA,"NAVIO, CALAMITY JANE, BS - INTER 31-10-713-0850",plataforma,plataforma,9PJE,23º01'54''S,042º39'44''W,-23.031666666666666,-42.66222222222222,0,22,W,1,1,0,INFERIDA_DESCRICAO,3
CAPX,NAVIO / FPSO Capixaba,plataforma,plataforma,9PCX,21º14'22''S,039º57'24''W,-21.239444444444445,-39.95666666666667,106,22,W,1,1,0,INFERIDA_DESCRICAO,3
CARU,CARUARA,waypoint,,,23º53'26''S,046º10'38''W,-23.890555555555554,-46.17722222222222,,22,W,1,0,1,INFERIDA_DESCRICAO,3
CDAN,NAVIO / Cidade de Anchieta,plataforma,plataforma,9PGI,21º20'18''S,040º03'33''W,-21.33833333333333,-40.05916666666666,133,23,W,1,1,0,INFERIDA_DESCRICAO,3
CDSM,"Navio / FPSO Cidade de São Matheus, BV",plataforma,plataforma,9PCT,19º55'21''S,039º38'00''W,-19.9225,-39.63333333333333,0,24,W,1,1,0,INFERIDA_DESCRICAO,3
CEVISP,HELIPONTO CEVISPA,heliponto,heliponto,,21º47'58''S,041º01'09''W,-21.799444444444447,-41.01916666666666,0,23,W,1,1,0,INFERIDA_DESCRICAO,3
CGR,SOBREVOO,waypoint,,,22º47'49''S,042º50'25''W,-22.796944444444446,-42.84027777777778,0,22,W,1,0,0,INFERIDA_DESCRICAO,3
CIAC,PLATAFORMA / UMS Arraial do Cabo,plataforma,plataforma,9PCL,00º00'00''S,000º00'00''W,0,0,100,23,W,0,0,1,INFERIDA_DESCRICAO,3
CLA P2,CLAREIRA POSIÇÃO 2,base,,,06º21'46''S,050º23'49''W,-6.362777777777778,-50.39694444444444,0,20,W,1,0,0,INFERIDA_DESCRICAO,3
CLAR11,CLARS11NW,waypoint,,,06º16'18''S,050º30'52''W,-6.2716666666666665,-50.51444444444444,0,20,W,1,0,0,INFERIDA_DESCRICAO,3
CLARE,CLAREIRA EXTREMO NORTE,base,,,06º13'53''S,050º30'14''W,-6.231388888888889,-50.50388888888889,0,20,W,1,0,0,INFERIDA_DESCRICAO,3
CLARS,CLARS11N,waypoint,,,06º16'56''S,050º28'21''W,-6.282222222222222,-50.472500000000004,0,20,W,1,0,0,INFERIDA_DESCRICAO,3
CLIP,NAVIO / NORMAND CLIPPER,plataforma,plataforma,9PEW,25º11'16''S,042º49'37''W,-25.18777777777778,-42.82694444444445,0,22,W,1,1,0,INFERIDA_DESCRICAO,3
CMD,NORMAND COMMANDER,embarcacao,plataforma,,24º18'34''S,042º41'00''W,-24.309444444444445,-42.68333333333333,0,23,W,1,1,0,INFERIDA_DESCRICAO,3
COLT,"MACAÉ / Fixo compulsório, RJ",waypoint,,,22º10'18''S,040º58'26''W,-22.171666666666667,-40.973888888888894,,23,W,1,0,1,INFERIDA_DESCRICAO,3
COMP,SCRAPER COMPERJ SOBREVOO,waypoint,,,22º40'40''S,042º50'50''W,-22.67777777777778,-42.84722222222222,0,22,W,1,0,0,INFERIDA_DESCRICAO,3
COMP 2,SCRAPER COMPERJ 2,waypoint,,,22º39'12''S,042º51'02''W,-22.653333333333332,-42.85055555555556,0,22,W,1,0,0,INFERIDA_DESCRICAO,3
COMPE,Comperj,waypoint,,,22º38'55''S,042º51'49''W,-22.648611111111112,-42.86361111111111,0,22,W,1,0,0,INFERIDA_DESCRICAO,3
